Symbol,FullName,CSVName,Sector
MMM,3M Company,3M Company,Industrials
ABT,Abbott Laboratories,Abbott Laboratories,Health Care
ABBV,AbbVie Inc.,AbbVie Inc.,Health Care
ABMD,ABIOMED Inc,ABIOMED Inc,Health Care
ACN,Accenture plc,Accenture plc,Information Technology
ATVI,Activision Blizzard,Activision Blizzard,Communication Services
ADBE,Adobe Systems Inc,Adobe Systems Inc,Information Technology
AMD,Advanced Micro Devices Inc,Advanced Micro Devices Inc,Information Technology
AAP,Advance Auto Parts,Advance Auto Parts,Consumer Discretionary
AES,AES Corp,AES Corp,Utilities
AMG,Affiliated Managers Group Inc,Affiliated Managers Group Inc,Financials
AFL,AFLAC Inc,AFLAC Inc,Financials
A,Agilent Technologies Inc,Agilent Technologies Inc,Health Care
APD,Air Products & Chemicals Inc,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Akamai Technologies Inc,Information Technology
ALK,Alaska Air Group Inc,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Albemarle Corp,Materials
ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities,Real Estate
ALXN,Alexion Pharmaceuticals,Alexion Pharmaceuticals,Health Care
ALGN,Align Technology,Align Technology,Health Care
ALLE,Allegion,Allegion,Industrials
AGN,"Allergan, Plc","Allergan, Plc",Health Care
ADS,Alliance Data Systems,Alliance Data Systems,Information Technology
LNT,Alliant Energy Corp,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Allstate Corp,Financials
GOOGL,Alphabet Inc Class A,Alphabet Inc Class A,Communication Services
GOOG,Alphabet Inc Class C,Alphabet Inc Class C,Communication Services
MO,Altria Group Inc,Altria Group Inc,Consumer Staples
AMZN,Amazon.com Inc.,Amazon.com Inc.,Consumer Discretionary
AEE,Ameren Corp,Ameren Corp,Utilities
AAL,American Airlines Group,American Airlines Group,Industrials
AEP,American Electric Power,American Electric Power,Utilities
AXP,American Express Co,American Express Co,Financials
AIG,American International Group,American International Group,Financials
AMT,American Tower Corp.,American Tower Corp.,Real Estate
AWK,American Water Works Company Inc,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,AmerisourceBergen Corp,Health Care
AME,AMETEK Inc.,AMETEK Inc.,Industrials
AMGN,Amgen Inc.,Amgen Inc.,Health Care
APH,Amphenol Corp,Amphenol Corp,Information Technology
APC,Anadarko Petroleum Corp,Anadarko Petroleum Corp,Energy
ADI,"Analog Devices, Inc.","Analog Devices, Inc.",Information Technology
ANSS,ANSYS,ANSYS,Information Technology
ANTM,Anthem Inc.,Anthem Inc.,Health Care
AON,Aon plc,Aon plc,Financials
AOS,A.O. Smith Corp,A.O. Smith Corp,Industrials
APA,Apache Corporation,Apache Corporation,Energy
AIV,Apartment Investment & Management,Apartment Investment & Management,Real Estate
AAPL,Apple Inc.,Apple Inc.,Information Technology
AMAT,Applied Materials Inc.,Applied Materials Inc.,Information Technology
APTV,Aptiv Plc,Aptiv Plc,Consumer Discretionary
ADM,Archer-Daniels-Midland Co,Archer-Daniels-Midland Co,Consumer Staples
ARNC,Arconic Inc.,Arconic Inc.,Industrials
ANET,Arista Networks,Arista Networks,Information Technology
